"Reference","Qty","Value","LCSC","DigiKey_PN","SKU","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1000uf","","493-15895-ND","Nichicon URS1C102MHD","DNP","Excluded from BOM","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2,C3,C4,C5,C6,C7,C8,C9","8","0.1uF","C28233","399-C0805C104K5RACTUCT-ND ","CL21B104KCFNNNE","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10,C12,C13,C14","4","47pF","C14857","399-C0805C101J5GACTUCT-ND","CL21C470JBANNNC","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11","1","27pF","C49326673","478-600F270JT250XT4KCT-ND ","600F270JT250XT4K","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16","16","47pF","C22446551","13-CA0612JRNPO9BN470CT-ND ","CA0612JRNPO9BN470","","","","zx50_footprints:CAP_CA0612_3P2X1P6_YAG","~"
"D1","1","LED","","732-5016-ND","","DNP","Excluded from BOM","","LED_THT:LED_D5.0mm","~"
"H1,H2,H3,H4,H5,H6","6","MountingHole","","SJ5003-0-ND","","DNP","Excluded from BOM","Excluded from board","MountingHole:MountingHole_3.2mm_M3","~"
"J1,J2,J3,J4,J5,J6,J7,J8","8","Conn_02x40_Odd_Even","","SAM1179-40-ND","","DNP","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_2x40_P2.54mm_Vertical_Oval","~"
"J10","1","GPIO SEL","","732-5316-ND","","DNP","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J11","1","POWER","","277-1238-ND","","DNP","Excluded from BOM","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~"
"R1,R5,R6,R7,R11,R12","6","10K","C237755","RMCF0805FT10K0CT-ND","RMCF0805FT10K0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3,R8,R9,R10","5","100R","C17408","311-100CRCT-ND","0805W8F1000T5E","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","470","C17710","A130132CT-ND","CRGCQ0805J470R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RN1,RN3,RN4,RN8,RN9,RN11,RN13,RN15","8","100R","C1358123","4816P-1-101LFCT-ND ","4816P-T01-101LF","","","","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm","~"
"RN2,RN10,RN12,RN14,RN16,RN17","6","10K","C7193336","60-752091103GPTR7CT-ND","752091103GPTR7","","","","zx50_footprints:RN_9SRT_1_27mm_handsolder","http://www.vishay.com/docs/31509/csc.pdf"
"RN5,RN6","2","2.2K","C1731646","60-752091222GPTR7CT-ND","752091222GPTR7","","","","zx50_footprints:RN_9SRT_1_27mm_handsolder","http://www.vishay.com/docs/31509/csc.pdf"
